ID,encoded_pixels
image_037,1:98797 10 99268 10 99736 14 100207 20 100678 20 101149 20 101623 19 102094 19 102565 19 102932 1 103036 19 103403 1 103507 19 103866 15 103978 19 104337 15 104449 19 104808 19 104920 19 105279 19 105391 19 105750 19 105862 19 106225 15 106333 19 106698 13 106806 17 107169 13 107277 17 107642 9 107746 17 108217 15 108688 15 109161 13 109634 6 110105 6~2:86480 5 86951 5 87420 7 87887 13 88358 13 88829 19 89298 24 89769 24 90238 28 90709 30 91180 30 91650 33 92119 37 92590 37 93061 37 93532 37 93999 42 94468 44 94939 44 95407 47 95865 60 96336 60 96805 64 97274 66 97745 66 98214 70 98683 74 99154 74 99624 77 100093 81 100564 81 101035 82 101506 81 101601 2 101977 81 102072 2 102448 82 102538 5 102921 11 102933 68 103007 7 103392 11 103404 68 103478 7 103864 2 103881 74 104335 2 104352 74 104806 2 104827 68 105298 68 105769 68 106221 4 106240 66 106692 6 106711 64 107163 6 107182 64 107634 8 107651 62 108105 76 108576 76 109047 76 109518 72 109597 4 109603 2 109989 72 110068 4 110074 2 110462 70 110933 66 111008 2 111404 66 111479 2 111875 64 112348 61 112819 61 113292 53 113763 53 114236 49 114707 47 115178 47 115649 49 116120 53 116591 53 117062 55 117533 53 118004 53 118475 53 118944 55 119415 55 119886 53 120359 49 120830 49 121301 49 121772 49 122243 49 122715 46 123190 35 123227 5 123661 35 123698 5 124136 24 124169 4 124607 24 124640 4 125083 9
image_038,1:81820 3 82378 3 82908 35 83466 35 84022 39 84580 39 85138 41 85696 41 86252 48 86810 48 87366 54 87921 59 88479 59 89035 63 89593 63 90149 65 90707 65 91263 63 91328 2 91821 63 91886 2 92377 65 92935 65 93490 66 94048 64 94606 64 95162 66 95720 66 96276 68 96834 68 97390 70 97948 70 98506 70 99062 72 99620 72 100180 68 100738 68 101296 68 101854 68 102414 66 102972 66 103530 66 104088 66 104646 66 105204 66 105762 66 106320 61 106878 61 107436 61 107994 61 108554 55 109112 55 109670 53 110228 53 110791 37 110830 6 111351 35 111390 9 111909 35 111948 9 112478 11 113036 11
image_039,1:201573 3 201591 3 202338 3 202356 3 203103 3 203121 3 203862 15 203880 15 204627 15 204645 15~2:74619 48 75384 48 76149 48 76890 81 77655 81 78396 111 79161 111 79917 126 80682 126 81447 126 82206 135 82971 135 83730 147 84495 147 85254 159 86019 159 86781 162 87546 162 88311 162 89073 168 89838 168 90600 171 91365 171 92124 177 92889 177 93654 177 94416 180 95181 180 95946 183 96711 183 97473 183 98238 183 99003 183 99768 186 100533 186 101298 186 102063 186 102828 186 103593 186 104355 189 105120 189 105885 189 106650 189 107415 189 108180 189 108945 189 109710 189 110475 189 111240 189 112005 192 112770 192 113532 195 114297 195 115062 195 115827 195 116592 195 117354 198 118119 198 118884 198 119649 198 120411 201 121176 201 121941 201 122703 204 123468 204 124230 207 124995 207 125757 210 126522 210 127284 213 128049 213 128814 213 129573 219 130338 219 131097 225 131862 225 132624 225 133389 225 134154 225 134916 228 135681 228 136443 231 137208 231 137967 237 138732 237 139497 237 140262 234 141027 234 141786 240 142551 240 143313 240 144078 240 144843 240 145608 240 146373 240 147133 242 147898 242 148660 242 149425 242 150187 245 150952 245 151717 245 152479 248 153244 248 154009 245 154774 245 155536 245 156301 245 157066 245 157831 245 158596 245 159361 242 160126 242 160891 242 161656 242 162421 242 163186 239 163951 239 164716 239 165481 239 166246 239 167011 239 167779 236 168544 236 169309 236 170074 236 170839 236 171604 236 172369 236 173131 239 173896 239 174661 239 175426 239 176191 239 176956 236 177721 236 178486 236 179251 236 180016 236 180781 236 181546 236 182314 230 183079 230 183844 230 184609 230 185374 227 186139 227 186904 227 187672 221 188437 221 189202 218 189967 218 190735 212 191500 212 192265 212 193030 209 193795 209 194563 200 195328 200 196093 194 196858 194 197623 194 198391 188 199156 188 199923 177 200688 177 201453 120 201576 15 201594 27 202218 120 202341 15 202359 27 202983 120 203106 15 203124 27 203754 108 203877 3 203895 9 204519 108 204642 3 204660 9 205287 54 206052 54 206820 45 207585 45 208356 30 209121 30 209886 30
image_040,1:71872 26 72541 26 73194 60 73863 60 74524 76 75193 76 75855 91 76524 91 77193 91 77854 112 78523 112 79184 131 79853 131 80511 149 81180 149 81844 162 82513 162 83182 162 83843 175 84512 175 85179 183 85848 183 86512 193 87181 193 87847 199 88516 199 89182 207 89851 207 90520 207 91187 211 91856 211 92522 217 93191 217 93857 225 94526 225 95193 230 95862 230 96528 235 97197 235 97866 235 98533 240 99202 240 99871 243 100540 243 101206 251 101875 251 102544 254 103213 254 103882 254 104548 259 105217 259 105886 262 106555 262 107222 269 107891 269 108560 272 109229 272 109895 277 110564 277 111233 277 111902 280 112571 280 113238 284 113907 284 114576 290 115245 290 115914 292 116583 292 117249 298 117918 298 118587 298 119256 303 119925 303 120594 308 121263 308 121932 311 122601 311 123270 314 123939 314 124608 314 125277 319 125946 319 126615 319 127284 319 127953 324 128622 324 129294 321 129963 321 130632 324 131301 324 131970 324 132639 326 133308 326 133977 326 134646 326 135317 327 135986 327 136655 329 137324 329 137993 332 138662 332 139331 332 140000 335 140669 335 141341 332 142010 332 142679 334 143348 334 144019 335 144688 335 145357 335 146026 338 146695 338 147367 335 148036 335 148708 334 149377 334 150048 332 150717 332 151386 332 152055 332 152724 332 153393 335 154062 335 154734 332 155403 332 156072 332 156741 332 157410 334 158079 334 158748 332 159417 332 160086 332 160755 334 161424 334 162093 334 162762 334 163431 334 164100 334 164769 334 165438 334 166107 334 166776 334 167445 334 168114 332 168783 332 169452 332 170121 332 170790 332 171459 332 172128 329 172797 329 173466 329 174135 327 174804 327 175473 324 176142 324 176813 317 177482 317 178154 311 178823 311 179492 308 180161 308 180830 308 181504 298 182173 298 182845 290 183514 290 184188 282 184857 282 185531 270 186200 270 186869 270 187544 258 188213 258 188889 246 189558 246 190235 230 190904 230 191581 217 192250 217 192927 204 193596 204 194265 204 194942 188 195611 188 196290 170 196959 170 197636 152 198305 152 198987 110 199656 110 200325 110 201018 23 201687 23
image_041,<empty>
image_042,<empty>
image_043,1:205514 30 206277 30 207040 30 207797 42 208560 42 209317 51 210080 51 210837 62 211600 62 212363 62 213123 65 213886 65 214646 74 215409 74 216172 74 216932 80 217695 80 218455 83 219218 83 219978 89 220741 89 221504 89 222264 92 223027 92 223787 98 224550 98 225313 98 226076 98 226839 98 227599 104 228362 104 229125 104 229888 104 230651 104 231411 110 232174 110 232937 110 233700 110 234463 110 235226 110 235989 110 236752 110 237515 110 238275 116 239038 116 239801 116 240564 113 241327 113 242090 113 242853 113 243619 110 244382 110 245145 110 245908 110 246671 110 247434 107 248197 107 248960 107 249726 104 250489 104 251252 101 252015 101 252781 98 253544 98 254307 98 255073 92 255836 92 256599 89 257362 89 258125 89 258891 80 259654 80 260420 74 261183 74 261949 63 262712 63 263475 63 264241 51 265004 51 265773 39 266536 39 267299 39 268080 3 268843 3
image_044,<empty>
image_045,2:76199 2 76202 2 76631 2 76634 2 77058 25 77490 25 77918 34 78350 34 78779 42 79211 42 79638 49 80070 49 80495 59 80927 59 81358 62 81788 66 82220 66 82648 70 83080 70 83509 74 83941 74 84368 79 84800 79 85229 82 85661 82 86091 86 86521 88 86953 88 87384 89 87816 89 88248 89 88680 89 89108 93 89540 93 89971 94 90403 94 90833 98 91265 98 91695 100 92125 102 92557 102 92989 102 93421 102 93852 101 94284 101 94716 101 95148 101 95578 103 96010 103 96440 105 96872 105 97304 103 97735 104 98167 104 98599 104 99031 104 99461 105 99893 105 100325 105 100757 105 101187 107 101619 107 102048 110 102480 110 102909 113 103339 115 103771 115 104201 117 104633 117 105064 118 105496 118 105926 120 106358 120 106792 118 107224 118 107654 120 108084 120 108516 120 108946 122 109378 122 109810 120 110242 120 110674 120 111106 120 111538 119 111970 119 112402 117 112834 117 113266 115 113698 112 114130 112 114562 110 114994 110 115428 105 115860 105 116292 103 116724 103 117156 103 117588 103 118022 99 118454 99 118889 95 119323 91 119755 91 120189 87 120621 87 121054 86 121486 86 121920 84 122352 84 122786 81 123218 81 123653 76 124087 71 124519 71 124954 63 125386 63 125823 54 126255 54 126692 47 127124 47 127561 41 127993 41 128430 32 128862 32
image_046,1:100136 14 100640 14 101138 26 101642 26 102146 28 102650 28 103156 28 103660 28 104164 30 104668 30 105172 30 105676 30 106180 30 106680 2 106684 32 107184 2 107188 32 107688 36 108192 36 108692 2 108696 36 109196 2 109200 36 109702 40 110206 40 110704 2 110708 42 111208 46 111712 46 112208 2 112212 2 112216 46 112712 2 112716 2 112720 46 113212 60 113716 60 114179 24 114205 2 114209 2 114213 67 114683 24 114709 2 114713 2 114717 67 115181 107 115685 107 116187 59 116248 48 116687 113 117191 113 117691 63 117756 2 117760 2 117764 2 117768 40 118195 63 118260 2 118264 2 118268 2 118272 40 118660 2 118664 2 118668 2 118693 73 118768 2 118772 42 119164 2 119168 2 119172 2 119197 73 119272 2 119276 42 119664 2 119668 22 119692 74 119768 2 119772 2 119776 2 119780 2 119784 2 119788 32 120168 2 120172 22 120196 74 120272 2 120276 2 120280 2 120284 2 120288 2 120292 32 120664 114 120780 2 120788 2 120796 28 121168 114 121284 2 121292 2 121300 28 121672 107 121780 2 121784 2 121788 2 121792 2 121796 2 121800 2 121804 2 121808 22 122176 107 122284 2 122288 2 122292 2 122296 2 122300 2 122304 2 122308 2 122312 22 122678 110 122816 20 123180 103 123285 2 123289 2 123292 2 123316 2 123320 2 123324 14 123684 103 123789 2 123793 2 123796 2 123820 2 123824 2 123828 14 124184 107 124332 4 124688 107 124836 4 125188 107 125297 2 125340 2 125692 107 125801 2 125844 2 126194 111 126698 111 127198 113 127702 113 128205 112 128707 92 128801 18 129211 92 129305 18 129715 92 129813 12 130219 92 130317 12 130723 86 131227 86 131729 86 132233 86 132737 82 133241 82 133745 80 134249 80 134755 78 135259 74 135763 74 136270 67 136774 67 137280 58 137340 1 137784 58 137844 1 138296 26 138324 2 138800 26 138828 2 139312 10 139816 10~2:49630 6 50134 6 50632 20 51136 20 51638 25 52142 25 52644 31 53148 31 53652 37 54156 37 54658 43 55162 43 55666 45 56168 47 56672 47 57174 51 57678 51 58180 55 58684 55 59188 57 59692 57 60188 2 60192 63 60692 2 60696 63 61190 75 61673 96 62177 96 62677 104 63181 104 63681 110 64185 110 64687 114 65191 114 65691 120 66195 120 66697 124 67201 124 67701 130 68203 134 68707 134 69209 138 69713 138 70203 4 70213 146 70707 4 70717 146 71209 164 71713 164 72219 166 72723 166 73225 171 73731 171 74235 171 74737 179 75241 179 75745 181 76249 181 76753 183 77257 183 77761 185 78265 185 78769 187 79273 187 79777 189 80281 191 80785 191 81289 191 81793 191 82297 193 82801 193 83305 193 83809 193 84311 195 84815 195 85319 197 85823 197 86327 197 86831 197 87335 197 87839 197 88343 197 88849 193 89353 193 89857 191 90361 191 90867 187 91371 187 91875 185 92379 181 92883 181 93387 181 93891 181 94395 179 94899 179 95405 175 95909 175 96413 171 96917 171 97423 169 97927 169 98433 165 98941 163 99445 163 99953 159 100457 159 100971 167 101475 167 101985 161 102489 161 103006 150 103510 150 104026 138 104538 130 105042 130 105554 122 106058 122 106562 118 106682 2 107066 118 107186 2 107574 114 108078 114 108582 110 108694 2 109086 110 109198 2 109594 108 110098 108 110602 102 110706 2 111110 98 111614 98 112118 90 112210 2 112214 2 112622 90 112714 2 112718 2 113128 84 113632 84 114134 45 114203 2 114207 2 114211 2 114638 45 114707 2 114711 2 114715 2 115142 39 115646 39 116150 37 116246 2 116652 35 117156 35 117658 2 117662 29 117754 2 117758 2 117762 2 117766 2 118162 2 118166 29 118258 2 118262 2 118266 2 118270 2 118670 23 118766 2 118770 2 119174 23 119270 2 119274 2 119637 19 119690 2 119766 2 119770 2 119774 2 119778 2 119782 2 119786 2 120141 19 120194 2 120270 2 120274 2 120278 2 120282 2 120286 2 120290 2 120641 23 120778 2 120782 6 120790 6 121145 23 121282 2 121286 6 121294 6 121647 25 121779 1 121782 2 121786 2 121790 2 121794 2 121798 2 121802 2 121806 2 122151 25 122283 1 122286 2 122290 2 122294 2 122298 2 122302 2 122306 2 122310 2 122657 21 122788 28 123163 17 123283 2 123287 2 123291 1 123294 22 123318 2 123322 2 123667 17 123787 2 123791 2 123795 1 123798 22 123822 2 123826 2 124171 13 124291 41 124675 13 124795 41 125182 4 125295 2 125299 41 125686 4 125799 2 125803 41 126187 7 126305 45 126691 7 126809 45 127193 5 127311 47 127697 5 127815 47 128199 6 128317 47 128703 4 128819 49 129207 4 129323 49 129711 4 129825 51 130215 4 130329 51 130719 4 130831 2 130835 47 131223 4 131335 2 131339 47 131727 2 131847 8 131860 24 132231 2 132351 8 132364 24 132735 2 132870 14 133239 2 133374 14 176502 20 177006 20 177506 24
image_047,<empty>
image_048,1:65158 14 65629 14 66059 9 66085 2 66089 2 66092 32 66142 9 66517 116 66635 2 66988 116 67106 2 67456 127 67678 2 67682 17 67927 127 68149 2 68153 17 68390 146 68600 2 68609 39 68854 162 69018 18 69058 2 69062 64 69132 2 69325 162 69489 18 69529 2 69533 64 69603 2 69789 294 70254 304 70725 304 71194 311 71658 326 72129 326 72594 335 73065 335 73535 338 74006 340 74477 340 74946 344 75415 346 75886 346 76357 349 76826 351 77297 351 77768 353 78239 353 78710 353 79185 351 79656 351 80125 355 80598 353 81069 353 81536 357 82007 357 82478 357 82947 361 83418 361 83889 361 84360 363 84831 363 85302 363 85771 366 86242 366 86713 368 87184 370 87655 370 88126 370 88597 370 89068 370 89539 370 90010 370 90481 372 90954 368 91425 368 91898 368 92371 364 92842 364 93315 362 93788 360 94259 360 94731 357 95202 357 95675 355 96148 355 96619 355 97096 349 97568 348 98039 348 98510 346 98981 346 99452 346 99920 347 100391 347 100862 346 101333 344 101804 344 102277 340 102748 338 103219 338 103690 336 104161 336 104632 336 105103 334 105577 330 106048 330 106519 330 106990 330 107463 326 107936 322 108407 322 108882 316 109353 314 109824 314 110295 311 110766 307 111237 307 111709 304 112180 304 112653 297 113128 289 113599 289 114074 281 114550 272 115021 272 115498 263 115972 254 116443 254 116918 247 117389 247 117866 237 118338 230 118809 230 119288 219 119762 212 120233 212 120706 205 121179 197 121650 197 122125 182 122309 2 122596 182 122780 2 123070 172 123547 160 124018 160 124493 151 124967 142 125438 142 125913 133 126386 127 126857 127 127330 119 127804 111 128275 111 128748 107 129219 107 129694 97 130172 89 130643 89 131125 10 131142 57 131626 44 132097 44 132571 37 133041 36 133512 36 133986 30 134457 30 134945 2 134949 1 134952 2
image_049,1:58585 16 58604 3 59370 16 59389 3 60137 6 60152 34 60922 6 60937 34 61707 52 62492 52 63274 55 64059 55 64844 55 65613 68 66398 68 67183 68 67968 68 68753 68 68824 3 68830 3 69538 68 69609 3 69615 3 70323 68 70394 3 70400 3 71105 86 71890 86 72672 92 73457 92 74236 98 75021 98 75812 92 76597 92 77382 92 78170 86 78955 86 79746 28 79777 3 79783 28 79814 3 79820 3 80531 28 80562 3 80568 28 80599 3 80605 3 81323 21 81353 34 82108 21 82138 34 82893 21 82923 34 83678 21 83702 34 83739 3 84463 21 84487 34 84524 3 85232 13 85248 15 85275 31 86017 13 86033 15 86060 31 86796 15 86824 3 86830 3 86848 22 86873 3 87581 15 87609 3 87615 3 87633 22 87658 3 88366 15 88394 15 88412 25 89151 15 89179 15 89197 25 89936 15 89964 15 89982 25 90721 15 90749 40 90792 3 90798 3 91506 15 91534 40 91577 3 91583 3 92291 65 93076 65 93861 55 93919 3 93926 3 94646 55 94704 3 94711 3 95431 55 95489 3 95496 3 96219 46 97004 46 97792 43 97838 3 97844 3 98577 43 98623 3 98629 3 99362 43 100147 43 100941 34 100978 3 101726 34 101763 3 102511 34 102548 3 103306 24 104091 24 104885 15 104903 3 104909 3 105670 15 105688 3 105694 3 106458 15 107243 15 108028 15 201195 12 201980 12 202765 12 203553 15 204338 15 205123 21 205908 21 206699 21 207484 21 208269 21 209060 18 209845 18 210633 12 211418 12~2:56215 3 57000 3 57785 3 60118 3 60903 3 61685 6 62470 6 63252 16 63271 3 64037 16 64056 3 64822 16 64841 3 83736 3 84521 3 85306 3 86091 3 86870 3 86876 3 87655 3 87661 3 88437 12 89222 12 90007 12 90789 3 90795 3 90801 3 91574 3 91580 3 91586 3 92356 21 93141 21 93916 3 93922 4 93929 21 93953 3 94701 3 94707 4 94714 21 94738 3 95486 3 95492 4 95499 21 95523 3 96265 46 97050 46 97835 3 97841 3 97847 34 98620 3 98626 3 98632 34 99405 43 100190 43 100975 3 100981 16 101000 3 101006 3 101012 9 101760 3 101766 16 101785 3 101791 3 101797 9 102545 3 102551 16 102570 3 102576 3 102582 9 103330 22 104115 22 104900 3 104906 3 104912 4 105685 3 105691 3 105697 4 106476 3 107261 3 108046 3
image_050,<empty>
image_051,<empty>
image_052,1:154163 4 154771 4 155379 4 155963 40 156571 40 157172 52 157780 52 158388 52 158993 57 159601 57 160207 62 160815 62 161423 62 162029 64 162637 64 163245 64 163850 69 164458 69 165064 71 165672 71 166280 71 166888 71 167496 71 168102 73 168710 73 169318 73 169923 76 170531 76 171139 76 171747 76 172355 76 172963 74 173571 74 174179 74 174787 74 175395 74 176003 71 176611 71 177219 71 177827 69 178435 69 179043 67 179651 67 180259 67 180870 59 181478 59 182086 59 182694 54 183302 54 183912 47 184520 47 185128 47 185738 41 186346 41 186959 29 187567 29 188175 29 248388 27 248429 2 248996 27 249037 2 249604 31 249638 2 249642 8 250212 31 250246 2 250250 8 250820 31 250854 2 250858 8 251421 60 252029 60 252637 60 253243 62 253851 62 254457 64 255065 64 255673 64 256281 66 256889 66 257494 69 258102 69 258710 69 259318 69 259926 69 260532 71 261140 71 261748 71 262356 71 262964 71 263572 71 264177 88 264785 88 265393 93 266001 93 266609 93 267217 98 267317 3 267825 98 267925 3 268433 107 269041 107 269649 107 270257 112 270865 112 271473 112 272081 112 272689 112 273295 119 273903 119 274511 119 275119 138 275727 138 276333 156 276941 156 277549 156 278159 154 278767 154 279375 157 279983 157 280591 157 281199 157 281807 157 282415 157 283023 159 283631 159 284239 157 284847 157 285455 157 286063 159 286671 159 287277 159 287885 159 288493 159 289098 162 289706 162 290314 162 290922 162 291530 162 292138 159 292746 159 293354 159 293962 159 294570 159 295176 161 295784 161 296392 161 297000 157 297608 157 298218 152 298826 152 299434 152 300045 145 300653 145 301261 142 301869 142 302477 142 303087 135 303695 135 304303 135 304916 121 305524 121 306137 102 306745 102 307353 102 307968 83 308576 83 309200 12 309808 12 310416 12
image_053,1:136644 21 137315 21 137981 34 138652 34 139323 34 139991 45 140662 45 141328 55 141999 55 142670 58 143341 58 144010 63 144681 63 145349 66 146020 66 146691 66 147359 71 148030 71 148701 71 149372 71 150043 71 150714 71 151385 71 152056 71 152727 71 153398 71 154069 71 154740 71 155411 71 156082 71 156753 71 157424 71 158095 71 158766 71 159440 66 160111 66 160785 63 161456 63 162127 60 162798 60 163471 55 164142 55 164818 48 165489 48 166160 48 166839 34 167510 34 168194 8 168865 8
image_054,1:221115 4 222031 4 230275 4 231191 4 232107 4~2:189002 39 189918 39 190834 39 191739 57 192655 57 193567 86 194483 86 195399 86 196312 96 197228 96 198144 96 199056 104 199972 104 200888 108 201804 108 202720 108 203636 111 204552 111 205468 111 206381 118 207297 118 208216 118 209132 118 210048 118 210964 118 211880 118 212796 118 213712 122 214628 122 215544 125 216460 125 217376 125 218292 125 219208 125 220124 125 221040 75 221119 50 221956 75 222035 50 222872 129 223788 129 224704 129 225620 133 226536 133 227452 133 228368 133 229284 133 230204 71 230279 54 231120 71 231195 54 232036 71 232111 54 232948 133 233864 133 234780 133 235700 132 236616 132 237532 132 238448 132 239364 132 240280 132 241196 132 242112 132 243028 132 243944 132 244860 136 245776 136 246692 136 247608 136 248524 136 249440 136 250356 136 251272 136 252188 136 253104 136 254020 136 254936 136 255852 136 256768 136 257684 136 258600 136 259516 136 260432 136 261348 136 262264 132 263180 132 264096 132 265012 132 265928 132 266847 126 267763 126 268679 126 269602 119 270518 119 271434 119 272361 29 272393 72 273277 29 273309 72 274200 15 274261 29 275116 15 275177 29 276032 15 276093 29
